,item,count
93,ohare.Airport.Akron-Canton Rgnl (KCAK),1
94,ohare.Airport.Appleton Intl (KATW),1
95,ohare.Airport.Austin Straubel Intl (KGRB),2
96,ohare.Airport.Baltimore/Washington Intl (KBWI),2
97,ohare.Airport.Bishop Intl (KFNT),3
98,ohare.Airport.Blue Grass (KLEX),1
99,ohare.Airport.Bozeman Yellowstone Intl (KBZN),1
100,ohare.Airport.Central Wisconsin (KCWA),1
101,ohare.Airport.Charles de Gaulle/Roissy (CDG / LFPG),2
102,ohare.Airport.Charlottesville-Albemarle (KCHO),2
103,ohare.Airport.Cherry Capital (KTVC),1
104,ohare.Airport.Cleveland-Hopkins Intl (KCLE),2
105,ohare.Airport.Columbia Rgnl (KCOU),1
106,ohare.Airport.Copenhagen (CPH / EKCH),4
107,ohare.Airport.Dallas/Fort Worth Intl (KDFW),2
108,ohare.Airport.Dane Co Rgnl (KMSN),2
109,ohare.Airport.Denver Intl (KDEN),1
110,ohare.Airport.Des Moines Intl (KDSM),2
111,ohare.Airport.Detroit Metro Wayne Co (KDTW),3
112,ohare.Airport.Dubuque Rgnl (KDBQ),1
113,ohare.Airport.Eppley Airfield (KOMA),5
114,ohare.Airport.Evansville Rgnl (KEVV),2
115,ohare.Airport.Fort Lauderdale Intl (KFLL),2
116,ohare.Airport.Fort Wayne Intl (KFWA),2
117,ohare.Airport.General Downing - Peoria Intl (KPIA),2
118,ohare.Airport.Gerald R Ford Intl (KGRR),1
119,ohare.Airport.Hector Intl (KFAR),1
120,ohare.Airport.Houston Bush Int'ctl (KIAH),4
121,ohare.Airport.Indianapolis Intl (KIND),6
122,ohare.Airport.James M Cox Dayton Intl (KDAY),2
123,ohare.Airport.Joe Foss Field (KFSD),1
124,ohare.Airport.John F Kennedy Intl (KJFK),1
125,ohare.Airport.John Wayne (KSNA),2
126,ohare.Airport.Kalamazoo/Battle Creek Intl (KAZO),3
127,ohare.Airport.Kansas City Intl (KMCI),4
128,ohare.Airport.LaGuardia (KLGA),6
129,ohare.Airport.Lambert-St Louis Intl (KSTL),4
130,ohare.Airport.Manhattan Rgnl (KMHK),1
131,ohare.Airport.Memphis Intl (KMEM),1
132,ohare.Airport.Metropolitan Oakland Intl (KOAK),2
133,ohare.Airport.Minneapolis/St Paul Intl (KMSP),2
134,ohare.Airport.Montreal-Trudeau (CYUL),1
135,ohare.Airport.Newark Liberty Intl (KEWR),5
136,ohare.Airport.Philadelphia Intl (KPHL),1
137,ohare.Airport.Quad City Intl (KMLI),1
138,ohare.Airport.Richmond Intl (KRIC),2
139,ohare.Airport.Roanoke Rgnl (KROA),2
140,ohare.Airport.Salt Lake City Intl (KSLC),2
141,ohare.Airport.Sioux Gateway (KSUX),1
142,ohare.Airport.The Eastern Iowa (KCID),2
143,ohare.Airport.Toronto Pearson Int'l (CYYZ),6
144,ohare.Airport.Washington Dulles Intl (KIAD),1
145,ohare.Airport.Waterloo Regional (CYKF),1
146,ohare.Airport.Waterloo Rgnl (KALO),1
147,ohare.Airport.Wichita Dwight D Eisenhower National (KICT),3
148,ohare.Airport.Will Rogers World (KOKC),2
