FlightNO,Plane Type,Airport,Time Cancelled
NKS595,A320,Houston Bush Int'ctl (KIAH),Wed 08:28AM CST
AAL2301,MD80,Dallas/Fort Worth Intl (KDFW),Wed 05:00AM CST
SKW2931,CRJ,Charlottesville-Albemarle (KCHO),Tue 09:50PM CST
UAL3,B737,John Wayne (KSNA),Tue 09:26AM CST
AAL42,B763,Charles de Gaulle/Roissy (CDG / LFPG),Mon 06:55PM CST
SAS944,A343,Copenhagen (CPH / EKCH),Sun 10:05PM CST
NKS209,A319,Metropolitan Oakland Intl (KOAK),Sun 03:20PM CST
ASQ5443,CRJ7,Minneapolis/St Paul Intl (KMSP),Sun 11:00AM CST
RPA4378,E170,Indianapolis Intl (KIND),Sat 08:20PM CST
AAL374,B738,LaGuardia (KLGA),Fri 12:50PM CST
TCF5934,E170,LaGuardia (KLGA),Fri 07:30AM CST
RPA4424,E170,Indianapolis Intl (KIND),Thu 04:42PM CST
LOF4617,E145,Roanoke Rgnl (KROA),Thu 01:46PM CST
ENY3351,CRJ7,Kansas City Intl (KMCI),Thu 10:15AM CST
TCF5948,E170,LaGuardia (KLGA),Wed 02:30PM CST
AAL1051,MD80,Newark Liberty Intl (KEWR),Wed 11:35AM CST
SKV7646,E170,Toronto Pearson Int'l (CYYZ),Wed 08:55AM CST
ENY3376,CRJ7,Newark Liberty Intl (KEWR),Wed 06:32AM CST
SKV7580,E170,Toronto Pearson Int'l (CYYZ),Wed 06:20AM CST
NKS409,A320,Fort Lauderdale Intl (KFLL),Wed 05:30AM CST
RPA3361,E170,Wichita Dwight D Eisenhower National (KICT),Tue 10:34PM CST
GJS4831,CRJ7,Eppley Airfield (KOMA),Tue 10:32PM CST
ASQ4042,E135,Austin Straubel Intl (KGRB),Tue 10:31PM CST
LOF4615,E145,Lambert-St Louis Intl (KSTL),Tue 10:30PM CST
ENY3372,CRJ7,Eppley Airfield (KOMA),Tue 10:10PM CST
RPA4322,E170,Kansas City Intl (KMCI),Tue 10:10PM CST
ENY3469,E145,Fort Wayne Intl (KFWA),Tue 10:10PM CST
ENY3530,E145,Des Moines Intl (KDSM),Tue 10:06PM CST
ENY3056,E145,Kalamazoo/Battle Creek Intl (KAZO),Tue 10:06PM CST
ENY3154,CRJ7,Dane Co Rgnl (KMSN),Tue 10:05PM CST
RPA4304,E170,Detroit Metro Wayne Co (KDTW),Tue 10:05PM CST
SAS944,A343,Copenhagen (CPH / EKCH),Tue 10:05PM CST
ENY3234,CRJ7,Baltimore/Washington Intl (KBWI),Tue 10:00PM CST
ENY3455,CRJ7,Indianapolis Intl (KIND),Tue 10:00PM CST
ENY3517,E135,General Downing - Peoria Intl (KPIA),Tue 09:55PM CST
ENY3454,E145,Cleveland-Hopkins Intl (KCLE),Tue 09:55PM CST
ENY3553,E145,Bishop Intl (KFNT),Tue 09:53PM CST
ENY3272,E145,Evansville Rgnl (KEVV),Tue 09:50PM CST
ENY3040,E145,Richmond Intl (KRIC),Tue 09:50PM CST
ENY3086,E135,James M Cox Dayton Intl (KDAY),Tue 09:46PM CST
ENY3288,CRJ7,Will Rogers World (KOKC),Tue 09:45PM CST
ENY3171,E145,Blue Grass (KLEX),Tue 09:45PM CST
ASQ4407,E135,Bishop Intl (KFNT),Tue 09:28PM CST
RPA4267,E170,Houston Bush Int'ctl (KIAH),Tue 09:25PM CST
NKS260,A320,Philadelphia Intl (KPHL),Tue 09:14PM CST
LOF4518,E145,Washington Dulles Intl (KIAD),Tue 09:10PM CST
ASQ4301,E135,Gerald R Ford Intl (KGRR),Tue 09:07PM CST
GJS4761,CRJ7,Detroit Metro Wayne Co (KDTW),Tue 09:04PM CST
TCF3580,E170,Newark Liberty Intl (KEWR),Tue 09:00PM CST
ASQ4040,E135,The Eastern Iowa (KCID),Tue 09:00PM CST
ASQ4408,E135,Kalamazoo/Battle Creek Intl (KAZO),Tue 08:59PM CST
ASQ3923,E135,Toronto Pearson Int'l (CYYZ),Tue 08:59PM CST
GJS4855,CRJ7,Lambert-St Louis Intl (KSTL),Tue 08:57PM CST
ASQ4428,E135,Appleton Intl (KATW),Tue 08:55PM CST
NKS295,A320,Houston Bush Int'ctl (KIAH),Tue 08:45PM CST
RPA4274,E170,Denver Intl (KDEN),Tue 08:30PM CST
ENY3322,E145,Sioux Gateway (KSUX),Tue 08:30PM CST
ENY3281,E145,The Eastern Iowa (KCID),Tue 08:25PM CST
ENY3127,E145,Quad City Intl (KMLI),Tue 08:24PM CST
ENY3493,E135,Central Wisconsin (KCWA),Tue 08:20PM CST
RPA4232,E170,Memphis Intl (KMEM),Tue 08:20PM CST
ENY3518,CRJ7,Salt Lake City Intl (KSLC),Tue 08:15PM CST
AAL1315,MD80,Lambert-St Louis Intl (KSTL),Tue 08:15PM CST
ENY3453,E145,Columbia Rgnl (KCOU),Tue 08:14PM CST
ENY3466,E135,Dubuque Rgnl (KDBQ),Tue 08:12PM CST
ENY3156,E145,Manhattan Rgnl (KMHK),Tue 08:11PM CST
ENY3199,E145,Waterloo Rgnl (KALO),Tue 08:10PM CST
ENY3316,E145,Joe Foss Field (KFSD),Tue 08:10PM CST
ENY3232,E145,Hector Intl (KFAR),Tue 08:05PM CST
SKV7598,E170,Montreal-Trudeau (CYUL),Tue 07:55PM CST
SKV7588,E170,Toronto Pearson Int'l (CYYZ),Tue 07:50PM CST
SKW5433,E170,Salt Lake City Intl (KSLC),Tue 07:40PM CST
GJS4807,CRJ7,Eppley Airfield (KOMA),Tue 07:29PM CST
ENY3423,E145,Waterloo Regional (CYKF),Tue 07:29PM CST
ASQ3912,E135,Wichita Dwight D Eisenhower National (KICT),Tue 07:25PM CST
ASQ3894,E135,Akron-Canton Rgnl (KCAK),Tue 07:25PM CST
GJS4798,CRJ7,Will Rogers World (KOKC),Tue 07:19PM CST
GJS4845,CRJ7,Bozeman Yellowstone Intl (KBZN),Tue 07:15PM CST
ASQ4473,E135,Cherry Capital (KTVC),Tue 07:15PM CST
FLG3972,CRJ9,John F Kennedy Intl (KJFK),Tue 07:00PM CST
NKS595,A320,Houston Bush Int'ctl (KIAH),Wed 08:28AM CST
AAL2301,MD80,Dallas/Fort Worth Intl (KDFW),Wed 05:00AM CST
SKW2931,CRJ,Charlottesville-Albemarle (KCHO),Tue 09:50PM CST
UAL3,B737,John Wayne (KSNA),Tue 09:26AM CST
AAL42,B763,Charles de Gaulle/Roissy (CDG / LFPG),Mon 06:55PM CST
SAS944,A343,Copenhagen (CPH / EKCH),Sun 10:05PM CST
NKS209,A319,Metropolitan Oakland Intl (KOAK),Sun 03:20PM CST
ASQ5443,CRJ7,Minneapolis/St Paul Intl (KMSP),Sun 11:00AM CST
RPA4378,E170,Indianapolis Intl (KIND),Sat 08:20PM CST
AAL374,B738,LaGuardia (KLGA),Fri 12:50PM CST
TCF5934,E170,LaGuardia (KLGA),Fri 07:30AM CST
RPA4424,E170,Indianapolis Intl (KIND),Thu 04:42PM CST
LOF4617,E145,Roanoke Rgnl (KROA),Thu 01:46PM CST
ENY3351,CRJ7,Kansas City Intl (KMCI),Thu 10:15AM CST
TCF5948,E170,LaGuardia (KLGA),Wed 02:30PM CST
AAL1051,MD80,Newark Liberty Intl (KEWR),Wed 11:35AM CST
SKV7646,E170,Toronto Pearson Int'l (CYYZ),Wed 08:55AM CST
ENY3376,CRJ7,Newark Liberty Intl (KEWR),Wed 06:32AM CST
SKV7580,E170,Toronto Pearson Int'l (CYYZ),Wed 06:20AM CST
NKS409,A320,Fort Lauderdale Intl (KFLL),Wed 05:30AM CST
RPA3361,E170,Wichita Dwight D Eisenhower National (KICT),Tue 10:34PM CST
GJS4831,CRJ7,Eppley Airfield (KOMA),Tue 10:32PM CST
ASQ4042,E135,Austin Straubel Intl (KGRB),Tue 10:31PM CST
LOF4615,E145,Lambert-St Louis Intl (KSTL),Tue 10:30PM CST
ENY3372,CRJ7,Eppley Airfield (KOMA),Tue 10:10PM CST
RPA4322,E170,Kansas City Intl (KMCI),Tue 10:10PM CST
ENY3469,E145,Fort Wayne Intl (KFWA),Tue 10:10PM CST
ENY3530,E145,Des Moines Intl (KDSM),Tue 10:06PM CST
ENY3056,E145,Kalamazoo/Battle Creek Intl (KAZO),Tue 10:06PM CST
ENY3154,CRJ7,Dane Co Rgnl (KMSN),Tue 10:05PM CST
RPA4304,E170,Detroit Metro Wayne Co (KDTW),Tue 10:05PM CST
SAS944,A343,Copenhagen (CPH / EKCH),Tue 10:05PM CST
ENY3234,CRJ7,Baltimore/Washington Intl (KBWI),Tue 10:00PM CST
ENY3455,CRJ7,Indianapolis Intl (KIND),Tue 10:00PM CST
ENY3517,E135,General Downing - Peoria Intl (KPIA),Tue 09:55PM CST
ENY3454,E145,Cleveland-Hopkins Intl (KCLE),Tue 09:55PM CST
ENY3553,E145,Bishop Intl (KFNT),Tue 09:53PM CST
ENY3272,E145,Evansville Rgnl (KEVV),Tue 09:50PM CST
ENY3040,E145,Richmond Intl (KRIC),Tue 09:50PM CST
ENY3086,E135,James M Cox Dayton Intl (KDAY),Tue 09:46PM CST
